,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
current_language,English,Русский,Português [Brasil],Español,Deutsch,Francais,Italiano,Polski,简体中文,日本語,한국어,,,
arena_predictive_netcode_name,Predictive Netcode,Предиктивный Неткод,,,vorhersagbarer Code,,,Przewidujący kod sieciowy,预测性网络,,,,,
arena_predictive_netcode_description,Predict player movement using latency.,Предсказывает движения пользователя используя задержку.,,,Spielerbewegung vorhersagen,,,Przewiduj ruch graczy na bazie opóźnienia,使用延迟预测玩家移动,,,,,
arena_material_wall,Wall,Стена,,,Wand,,,Ściana,墙,,,,,
arena_perk_extra_money_description,You gain double gold.,Вы получаете в два раза больше золота.,,,Du bekommst doppeltes Gold,,,Zdobywasz podwojone złoto.,你获得双倍金币。,,,,,
arena_zone_shrinking,Zone is shrinking,Зона уменьшается,,,Zone schrumpft,,,Strefa się zmniejsza,安全区域正在收缩!,,,,,
arena_zone_shrink_countdown,Zone will shrink in %s seconds,Зона уменьшится через %s секунд,,,Zone schrumpft in % Sekunden,,,Strefa się zmniejszy za %s sekund,安全区域将在 %s 秒后缩小！,,,,,
arena_winner_text,%s won this round!,%s выиграл раунд!,,,% hat die Runde gewonnen!,,,%s wygrał tą rundę!,%s 赢了这一局！,,,,,
arena_tie_text,It was a tie!,Это была ничья!,,,Unentschieden!,,,Remis!,平局！,,,,,
arena_round_end_text,Prepare for the next round in your holy mountain.,Подготовьтесь к следующему раунду в святой горе.,,,Bereite dich für die nächste Runde im Heiligen Berg vor.,,,Przygotuj się do kolejnej rundy w świątyni.,在圣山准备下一轮,,,,,
arena_kill,%s was killed by %s,%s был убит %s,,,% (victim) wurde von % (killer) getötet,,,%s został zabity przez %s,%s 被 %s 杀死了,,,,,
arena_compensation,You will be compensated for dying.,Вы будете компенсированы за смерть.,,,Du wirst für das Sterben entschädigt,,,Zostaniesz wynagrodzony za umarcie!,你获得死亡抚恤,,,,,
arena_player_died,You died!,Вы мертвы!,,,Du bist gestorben!,,,Umarłeś!,阵亡,,,,,
arena_round_gold,You were granted %s gold for this round (Rounds: %s),Вы получили %s золота за этот раунд (%s Раунд),,,Du hast diese Runde % Gold erhalten (Runde: %),,,Otrzymałeś %s złota za tą rundę (Rundy: %s),本轮你获得 %s 金币（轮数：%s）,,,,,
arena_self_ready,You are ready.,Вы готовы.,,,Du bist bereit.,,,Jesteś gotowy.,准备完成,,,,,
arena_self_unready,You are no longer ready.,Вы более не готовы.,,,Du bist nicht mehr bereit.,,,Nie jesteś gotowy.,取消准备,,,,,
